ID_ES,COD_CATALOGO_ES,NOMBRE_ES,CATEGORIA_ES,CLASE_ES,TIPO_ES,ESTADO,FGDA,DEPARTAMENTO,MUNICIPIO,LATITUD,LONGITUD,FECHA_INSTALACION,FECHA_SUSPENSION
2283,26101140,LUISA LA ,PM,MET,CON,ACT,PARTIC,VALLE DEL CAUCA,ZARZAL,4.3500000,-76.1166670,15/03/1972,
2284,26101150,LUISA LA ,PM,MET,CON,ACT,PARTIC,VALLE DEL CAUCA,ZARZAL,4.3833333,-76.1333330,15/03/1972,
2285,26105010,SAN RAFAEL ,CO,MET,CON,SUS,MINEC,VALLE DEL CAUCA,BUGALAGRANDE,4.2000000,-76.1666670,15/11/1929,15/12/1936
2286,26105020,LUCERNA ,CO,MET,CON,SUS,MINEC,VALLE DEL CAUCA,BUGALAGRANDE,4.2166667,-76.1500000,15/01/1937,15/10/1946
2287,26105030,RIOPAILA ,CO,MET,CON,SUS,PARTIC,VALLE DEL CAUCA,ZARZAL,4.3166667,-76.0833330,15/01/1932,15/12/1942
2288,26105040,FERROCARRIL ,CO,MET,CON,SUS,FFNN,VALLE DEL CAUCA,ZARZAL,4.4000000,-76.0666670,15/05/1932,15/08/1938
2289,26105050,ALVAREZ SALAS ,CO,MET,CON,SUS,MINAG,VALLE DEL CAUCA,SEVILLA,4.2666667,-75.9500000,15/09/1933,15/06/1942
2290,26105060,OBANDO FERROCARRIL ,CO,MET,CON,SUS,FFNN,VALLE DEL CAUCA,OBANDO,4.5833333,-75.9833330,15/03/1934,15/11/1942
2291,26105070,MIRAVALLES ,CO,MET,CON,ACT,CVC,VALLE DEL CAUCA,LA VICTORIA,4.5166667,-75.9166670,15/08/1967,
2292,26105080,ANDALUCIA GJA AGRI ,CO,MET,CON,SUS,MINAG,VALLE DEL CAUCA,ANDALUCÍA,4.1666667,-76.1833330,15/04/1936,15/10/1945
2293,26105090,HERACLIO URIBE ,CO,MET,CON,SUS,FNC,VALLE DEL CAUCA,SEVILLA,4.2666667,-75.9166670,15/04/1952,15/12/1991
2294,26105100,BUGALAGRANDE CENTR ,CO,MET,CON,SUS,MINEC,VALLE DEL CAUCA,BUGALAGRANDE,4.2166667,-76.1666670,15/01/1937,15/03/1947
2295,26105120,SIRENA LA ,CP,MET,CON,ACT,FNC,VALLE DEL CAUCA,SEVILLA,4.2833333,-75.9166670,15/03/1988,
2296,26105130,SAN PEDRO ,CO,MET,CON,SUS,INCORA,VALLE DEL CAUCA,LA VICTORIA,4.5000000,-76.0666670,15/09/1968,15/09/1969
2297,26105170,APTO CARTAGO ,CO,MET,CON,SUS,ECA,VALLE DEL CAUCA,CARTAGO,4.7833333,-75.9500000,15/01/1941,15/07/1950
2298,26105190,ACDTO TULUA ,CO,MET,CON,ACT,CVC,VALLE DEL CAUCA,TULUÁ,4.0666667,-76.1833330,15/03/1967,
2299,26105200,MONTE LORO ,CO,MET,CON,ACT,CVC,VALLE DEL CAUCA,TULUÁ,3.9833333,-76.0500000,15/02/1971,
2300,26105210,CARTAGO AUTOMATICA ,CP,MET,AUT,ACT,CECICAÑA,VALLE DEL CAUCA,CARTAGO,4.6830556,-76.0141670,01/05/1995,
2301,26105220,ZARAGOZA ,ME,MET,CON,ACT,CVC,VALLE DEL CAUCA,CARTAGO,4.7012500,-75.9301110,15/01/1965,
2302,26105260,ZARZAL AUTOMATICA ,CP,MET,AUT,ACT,CECICAÑA,VALLE DEL CAUCA,ZARZAL,4.3497222,-76.0775000,01/05/1997,
2303,26105270,LA PAILA AUTOMATICA ,CP,MET,AUT,ACT,CECICAÑA,VALLE DEL CAUCA,ZARZAL,4.3275000,-76.0880560,01/05/1993,
2304,26105280,BUGALAGRANDE AUTOMATICA ,CP,MET,AUT,ACT,CECICAÑA,VALLE DEL CAUCA,BUGALAGRANDE,4.2019444,-76.1847220,01/05/1997,
2305,26107010,OBANDO ,LG,HID,CON,ACT,CVC,VALLE DEL CAUCA,OBANDO,4.5833333,-75.9666670,15/09/1982,
2306,26107020,RIOPAILA ,LM,HID,CON,SUS,ICEL,VALLE DEL CAUCA,ZARZAL,4.3666667,-76.0500000,15/08/1945,15/11/1946
2307,26107030,BOCATOMA-CANAL ,LM,HID,CON,SUS,ICEL,VALLE DEL CAUCA,BUGALAGRANDE,4.1666667,-76.1500000,15/08/1945,15/12/1955
2308,26107040,MEDIO EL HDA ,LM,HID,CON,SUS,ICEL,VALLE DEL CAUCA,ZARZAL,4.2833333,-76.0333330,15/09/1945,15/08/1951
2309,26107050,FRAZADAS ,LM,HID,CON,SUS,ICEL,VALLE DEL CAUCA,ANDALUCÍA,4.0666667,-76.0166670,15/06/1954,15/08/1955
2310,26107060,GUAYABAL ,LM,HID,CON,ACT,CVC,VALLE DEL CAUCA,ZARZAL,4.4000000,-76.1000000,15/10/1958,
2311,26107070,LA VICTORIA AUTOMATICA,LG,HID,AUT,ACT,CVC,VALLE DEL CAUCA,LA VICTORIA,4.5166667,-76.0333330,15/10/1958,
2312,26107080,PTE VARIANTE ,LM,HID,CON,SUS,CVC,VALLE DEL CAUCA,BUGALAGRANDE,4.2000000,-76.1666670,15/06/1950,15/12/1978
2313,26107090,VOLADERO ,LG,HID,CON,SUS,CVC,VALLE DEL CAUCA,BUGALAGRANDE,4.2166667,-76.1666670,15/05/1971,15/12/1973
2314,26107100,JUAN DIAZ ,LM,HID,CON,ACT,CVC,VALLE DEL CAUCA,OBANDO,4.7166667,-76.0166670,15/04/1971,
2315,26107110,ANACARO ,LG,HID,CON,ACT,CVC,VALLE DEL CAUCA,CARTAGO,4.7833333,-75.9666670,15/10/1961,
2316,26107120,ALTAMISA LA ,LG,HID,CON,ACT,CVC,VALLE DEL CAUCA,LA VICTORIA,4.5333333,-76.0166670,15/10/1982,
2317,26107150,PTE ZINC ,LM,HID,CON,SUS,CVC,VALLE DEL CAUCA,TULUÁ,4.0166667,-76.1500000,15/09/1986,15/06/1989
2318,26107180,PLACER EL ,LM,HID,CON,ACT,CVC,VALLE DEL CAUCA,BUGALAGRANDE,4.1000000,-76.1000000,15/07/1976,
2319,26107190,BOHIO EL ,LG,HID,CON,SUS,CVC,VALLE DEL CAUCA,BUGALAGRANDE,4.1000000,-76.0500000,15/08/1976,15/12/1982
2320,26107200,STA LIBRADA ,LM,HID,CON,ACT,PARTIC,VALLE DEL CAUCA,ANDALUCÍA,4.1666667,-76.2333330,15/01/1973,
2321,26107210,SORPRESA LA ,LG,HID,CON,ACT,CVC,VALLE DEL CAUCA,ZARZAL,4.3333333,-76.0666670,15/01/1972,
2322,26110010,ROLDANILLO ,PM,MET,CON,SUS,MINAG,VALLE DEL CAUCA,ROLDANILLO,4.4333333,-76.1666670,15/11/1931,15/06/1944
2323,26110020,VINICOLA GJA ,PM,MET,CON,SUS,MINEC,VALLE DEL CAUCA,BOLÍVAR,4.3333333,-76.1833330,15/03/1937,15/12/1948
2324,26110030,HORIZONTE EL ,PM,MET,CON,ACT,FNC,VALLE DEL CAUCA,ROLDANILLO,4.4000000,-76.1666670,15/01/1970,
2325,26110050,PORVENIR EL ,PM,MET,CON,ACT,CVC,VALLE DEL CAUCA,LA UNIÓN,4.5500000,-76.1166670,15/07/1967,
2326,26110080,RIVERA LA ,PM,MET,CON,SUS,CVC,VALLE DEL CAUCA,LA UNIÓN,4.5666667,-76.0833330,15/06/1967,15/12/1984
2327,26110090,VESUBIO EL ,PM,MET,CON,ACT,CVC,VALLE DEL CAUCA,LA UNIÓN,4.6166667,-76.0833330,15/07/1967,
2328,26110130,BELLAVISTA ,PM,MET,CON,ACT,FNC,VALLE DEL CAUCA,ANSERMANUEVO,4.8000000,-76.0666670,15/01/1971,
2329,26110140,SABANAZO ,PM,MET,CON,ACT,CVC,VALLE DEL CAUCA,LA UNIÓN,4.5666667,-76.1500000,15/06/1971,
2330,26110170,RETIRO EL ,PM,MET,CON,ACT,CVC,VALLE DEL CAUCA,BOLÍVAR,4.4166667,-76.2666670,15/06/1971,
2331,26110180,MONTECRISTO ,PM,MET,CON,ACT,CVC,VALLE DEL CAUCA,ROLDANILLO,4.4666667,-76.2333330,15/06/1971,
2332,26110190,HERRADURA LA ,PM,MET,CON,ACT,CVC,VALLE DEL CAUCA,BOLÍVAR,4.3166667,-76.2000000,15/06/1971,
2333,26110200,GRANARIO EL ,PM,MET,CON,ACT,CVC,VALLE DEL CAUCA,EL ÁGUILA,4.8833333,-76.0500000,15/05/1972,
2334,26110220,BUENAVISTA ,PM,MET,CON,ACT,CVC,VALLE DEL CAUCA,TORO,4.6833333,-76.1166670,15/01/1975,
2335,26110240,CAMELIA LA ,PM,MET,CON,ACT,FNC,VALLE DEL CAUCA,ROLDANILLO,4.4000000,-76.1666670,15/06/1969,
2336,26110260,STA MARTA ,PM,MET,CON,ACT,FNC,VALLE DEL CAUCA,EL ÁGUILA,4.8666667,-76.0500000,15/01/1991,
2337,26110270,PLACER EL ,PM,MET,CON,ACT,FNC,VALLE DEL CAUCA,ANSERMANUEVO,4.7833333,-76.1000000,15/01/1991,
2338,26110330,OSO EL ,PM,MET,CON,ACT,CVC,VALLE DEL CAUCA,TORO,4.5833333,-76.1000000,15/01/1975,
2339,26110350,POLONIA LA ,PM,MET,CON,ACT,FNC,RISARALDA,LA CELIA,5.0000000,-76.0166670,15/10/1981,
2340,26110360,AGUACATE EL ,PM,MET,CON,ACT,CVC,VALLE DEL CAUCA,ROLDANILLO,4.4000000,-76.2000000,15/01/1974,
2341,26110370,BOHIO EL ,PM,MET,CON,SUS,CVC,VALLE DEL CAUCA,TORO,4.6166667,-76.0666670,15/01/1975,15/05/1991
2342,26110380,LUCERO EL ,PM,MET,CON,ACT,CVC,VALLE DEL CAUCA,LA UNIÓN,4.5333333,-76.1000000,15/01/1975,
2343,26110390,OREGANO EL ,PM,MET,CON,ACT,CVC,VALLE DEL CAUCA,ROLDANILLO,4.4666667,-76.2000000,15/01/1975,
2344,26110400,CALERA LA ,PM,MET,CON,SUS,CVC,VALLE DEL CAUCA,LA UNIÓN,4.5333333,-76.1333330,15/01/1975,15/05/1991
2345,26110410,MONTANUELA LA ,PM,MET,CON,SUS,CVC,VALLE DEL CAUCA,ROLDANILLO,4.4833333,-76.2333330,15/01/1975,15/07/1991
2346,26110420,PLANTA LA ,PM,MET,CON,SUS,CVC,VALLE DEL CAUCA,LA UNIÓN,4.5333333,-76.1333330,15/01/1975,15/05/1991
2347,26110430,QUIEBRA LA ,PM,MET,CON,ACT,CVC,VALLE DEL CAUCA,TORO,4.6333333,-76.1166670,15/01/1975,
