Term,Definition
GEOCOL2004,MAGNA-SIRGAS Vertical Datum of 2004
EGM96,Earth Gravitational Model 1996
MSL,Mean Sea Level
NAVD88,North American Vertical Datum of 1988
NGVD29,National Geodetic Vertical Datum of 1929
Unknown,The vertical datum is unknown
