UnitsID,UnitsName,UnitsType,UnitsAbbreviation,
169,millivolts,Potential Difference,mV,1
170,kilopascal,Pressure/Stress,kPa,1
171,megapascal,Pressure/Stress,MPa,1
172,becquerel,Radioactivity,Bq,1
173,becquerels per gram,Radioactivity,Bq/g,1
174,curie,Radioactivity,Ci,1
175,picocurie,Radioactivity,pCi,1
176,ohm,Resistance,ohm,1
177,ohm meter,Resistivity,ohm m,1
178,picocuries per gram,Specific Activity,pCi/g,1
179,picocuries per liter,Specific Activity,pCi/L,1
180,picocuries per milliliter,Specific Activity,pCi/ml,1
181,hour minute,Time,hhmm,1
182,year month day,Time,yymmdd,1
183,year day (Julian),Time,yyddd,1
184,inches per day,Velocity,in/d,1
185,inches per week,Velocity,in/week,1
186,inches per storm,Precipitation,in/storm,1
187,thousand acre feet,Volume,10^3 ac ft,1
188,milliliter,Volume,ml,1
189,cubic feet per second days,Volume,cfs d,1
190,thousand gallons,Volume,10^3 gal,1
191,million gallons,Volume,10^6 gal,1
192,microsiemens per centimeter,Electrical Conductivity,uS/cm,1
193,practical salinity units ,Salinity,psu,1
194,decibel,Sound,dB,1
195,cubic centimeters per gram,Specific Volume,cm^3/g,1
196,square meters per gram,Specific Surface Area ,m^2/g,1
197,short tons per acre foot,Concentration,ton/ac ft,1
198,grams per cubic centimeter,Concentration,g/cm^3,1
199,milligrams per liter,Concentration,mg/L,1
200,nanograms per cubic meter,Concentration,ng/m^3,1
201,nanograms per liter,Concentration,ng/L,1
202,grams per liter,Concentration,g/L,1
203,micrograms per cubic meter,Concentration,ug/m^3,1
204,micrograms per liter,Concentration,ug/L,1
205,parts per million,Concentration,ppm,1
206,parts per billion,Concentration,ppb,1
207,parts per trillion,Concentration,ppt,1
208,parts per quintillion,Concentration,ppqt,1
209,parts per quadrillion,Concentration,ppq,1
210,per mille,Concentration,‰,1
211,microequivalents per liter,Concentration,ueq/L,1
212,milliequivalents per liter,Concentration,meq/L,1
213,milliequivalents per 100 gram,Concentration,meq/100 g,1
214,milliosmols per kilogram,Concentration,mOsm/kg,1
215,nanomoles per liter,Concentration,nmol/L,1
216,picograms per cubic meter,Concentration,pg/m^3,1
217,picograms per liter,Concentration,pg/L,1
218,picograms per milliliter,Concentration,pg/ml,1
219,tritium units,Concentration,TU,1
220,jackson turbidity units,Turbidity,JTU,1
221,nephelometric turbidity units,Turbidity,NTU,1
222,nephelometric turbidity multibeam unit,Turbidity,NTMU,1
223,nephelometric turbidity ratio unit,Turbidity,NTRU,1
224,formazin nephelometric multibeam unit,Turbidity,FNMU,1
225,formazin nephelometric ratio unit,Turbidity,FNRU,1
226,formazin nephelometric unit,Turbidity,FNU,1
227,formazin attenuation unit,Turbidity,FAU,1
228,formazin backscatter unit ,Turbidity,FBU,1
229,backscatter units,Turbidity,BU,1
230,attenuation units,Turbidity,AU,1
231,platinum cobalt units,Color,PCU,1
232,the ratio between UV absorbance at 254 nm and DOC level,Specific UV Absorbance,L/(mg DOC/cm),1
233,billion colonies per day,Organism Loading,10^9 colonies/d,1
234,number of organisms per square meter,Organism Concentration,#/m^2,1
235,number of organisms per liter,Organism Concentration,#/L,1
236,number or organisms per cubic meter,Organism Concentration,#/m^3,1
237,cells per milliliter,Organism Concentration,cells/ml,1
238,cells per square millimeter,Organism Concentration,cells/mm^2,1
239,colonies per 100 milliliters,Organism Concentration,colonies/100 ml,1
240,colonies per milliliter,Organism Concentration,colonies/ml,1
241,colonies per gram,Organism Concentration,colonies/g,1
242,colony forming units per milliliter,Organism Concentration,CFU/ml,1
243,cysts per 10 liters,Organism Concentration,cysts/10 L,1
244,cysts per 100 liters,Organism Concentration,cysts/100 L,1
245,oocysts per 10 liters,Organism Concentration,oocysts/10 L,1
246,oocysts per 100 liters,Organism Concentration,oocysts/100 L,1
247,most probable number,Organism Concentration,MPN,1
248,most probable number per 100 liters,Organism Concentration,MPN/100 L,1
249,most probable number per 100 milliliters,Organism Concentration,MPN/100 ml,1
250,most probable number per gram,Organism Concentration,MPN/g,1
251,plaque-forming units per 100 liters,Organism Concentration,PFU/100 L,1
252,plaques per 100 milliliters,Organism Concentration,plaques/100 ml,1
253,counts per second,Rate,#/s,1
254,per day,Rate,12/01/16,1
255,nanograms per square meter per hour,Volatilization Rate,ng/m^2 hr,1
256,nanograms per square meter per week,Volatilization Rate,ng/m^2 week,1
257,count,Dimensionless,#,1
258,categorical,Dimensionless,code,1
259,absorbance per centimeter per mg/L of given acid ,Absorbance,100/cm mg/L,1
260,per liter,Concentration Ratio,1/L,1
261,per mille per hour,Sedimentation Rate,‰/hr,1
262,gallons per batch,Flow,gpb,1
263,cubic feet per barrel,Concentration,ft^3/bbl,1
264,per mille by volume,Concentration,‰ by vol,1
265,per mille per hour by volume,Sedimentation Rate,‰/hr by vol,1
266,micromoles,Amount,umol,1
267,tons of calcium carbonate per kiloton,Net Neutralization Potential,tCaCO3/Kt,1
268,siemens per meter,Electrical Conductivity,S/m,1
269,millisiemens per centimeter,Electrical Conductivity,mS/cm,1
270,siemens per centimeter,Electrical Conductivity,S/cm,1
271,practical salinity scale,Salinity,pss,1
272,per meter,Light Extinction,1/m,1
273,normal,Normality,N,1
274,nanomoles per kilogram,Concentration,nmol/kg,1
275,millimoles per kilogram,Concentration,mmol/kg,1
276,millimoles per square meter per hour,Areal Flux,mmol/m^2 hr,1
277,milligrams per cubic meter per hour,Productivity,mg/m^3 hr,1
278,milligrams per day,Loading,mg/d,1
279,liters per minute,Flow,L/min,1
280,liters per day,Flow,L/d,1
281,jackson candle units ,Turbidity,JCU,1
282,grains per gallon,Concentration,gpg,1
283,gallons per second,Flow,gps,1
284,gallons per hour,Flow,gph,1
285,foot candle,Illuminance,ftc,1
286,fibers per liter,Concentration,fibers/L,1
287,drips per minute,Flow,drips/min,1
288,cubic centimeters per second,Flow,cm^3/sec,1
289,colony forming units,Organism Concentration,CFU,1
290,colony forming units per 100 milliliter,Organism Concentration,CFU/100 ml,1
291,cubic feet per minute,Flow,cfm,1
292,ADMI color unit,Color,ADMI,1
293,percent by volume,Concentration,% by vol,1
294,number of organisms per 500 milliliter,Organism Concentration,#/500 ml,1
295,number of organisms per 100 gallon,Organism Concentration,#/100 gal,1
296,grams per cubic meter per hour,Productivity,g/m^3 hr,1
297,grams per minute,Loading,g/min,1
298,grams per second,Loading,g/s,1
299,million cubic feet,Volume,10^6 ft^3,1
300,month year,Time,mmyy,1
301,bar,Pressure,bar,1
302,decisiemens per centimeter,Electrical Conductivity,dS/cm,1
303,micromoles per liter,Concentration,umol/L,1
304,Joules per square centimeter,Energy per Area,J/cm^2,1
305,millimeters per day,velocity,mm/day,1
306,parts per thousand,Concentration,ppth,1
307,megaliter,Volume,ML,1
308,Percent Saturation,Concentration,% Sat,1
309,pH Unit,Dimensionless,pH,1
310,millimeters per second,Velocity,mm/s,1
311,liters per hour,Flow,L/hr,1
312,cubic hecto meter,Volume,(hm)^3,1
313,mols per cubic meter,Concentration or organism concentration,mol/m^3,1
314,kilograms per month,Loading,kg/month,1
315,hectopascal,Pressure/Stress,hPa,1
316,kilograms per cubic meter,Concentration,kg/m^3,1
317,short tons per month,Loading,ton/month,1
318,grams per square meter per hour,Areal Flux,g/m^2 hr,1
319,milligrams per cubic meter,Concentration,mg/m^3,1
320,meters squared per second squared,Velocity,m^2/s^2,1
321,squared degree Celsius,Temperature,(DegC)^2,1
322,milligrams per cubic meter squared,Concentration,(mg/m^3)^2,1
323,meters per second degree Celsius,Temperature,m/s DegC,1
324,millimoles per square meter per second,Areal Flux,mmol/m^2 s,1
325,degree Celsius millimoles per cubic meter,Concentration,DegC mmol/m^3,1
326,millimoles per cubic meter,Concentration,mmol/m^3,1
327,millimoles per cubic meter squared,Concentration,(mmol/m^3)^2,1
328,Langleys per hour,Energy Flux,Ly/hr,1
329,hits per square centimeter,Precipitation,hits/cm^2,1
330,hits per square centimeter per hour,Velocity,hits/cm^2 hr,1
331,relative fluorescence units,Fluorescence,RFU,1
332,kilograms per hectare per day,Areal Flux,kg/ha d,1
333,kilowatts per square meter,Energy Flux,kW/m^2,1
334,kilograms per square meter,Areal Density,kg/m^2,1
335,microeinsteins per square meter per day,Light Intensity,uE/m^2 d,1
336,microgram per milliliter,Concentration,ug/mL,1
337,Newton per square meter,Pressure/Stress,Newton/m^2,1
338,micromoles per liter per hour,Pressure/Stress,umol/L hr,1
339,decisiemens per meter,Electrical Conductivity,dS/m,1
340,milligrams per kilogram,Mass Fraction,mg/Kg,1
341,number of organisms per 100 milliliter,Organism Concentration,#/100 mL,1
342,micrograms per kilogram,Mass Fraction,ug/Kg,1
343,grams per kilogram,Mass Fraction,g/Kg,1
344,acre feet per month,Flow,ac ft/mo,1
345,acre feet per half month,Flow,ac ft/0.5 mo,1
346,cubic meters per minute,Flow,m^3/min,1
347,count per half cubic foot,Concentration,#/((ft^3)/2),1
348,micrograms per gram,Mass Fraction,ug/g,1
349,nanograms per gram,Mass Fraction,ng/g,1
350,milliliters per gram,Specific Volume,ml/g,1
351,grams per 0.1 square meter,Areal Density,g/0.1 m^2,1
352,number of organisms per 0.1 square meter,Organism Concentration,#/0.1 m^2,1
353,number of organisms per 1000 square meter,Organism Concentration,#/1000 m^2,1
354,kilograms per 1000 square meter,Areal Density,kg/1000 m^2,1
355,microgram meter per liter,Length Integrated Concentration,ug m/L,1
356,milligrams per milliliter,Concentration,mg/mL,1
357,superoxide dismutase units per minute per milligram,Normalized Flux,U/min mg,1
358,picomoles per minute per milligram,Normalized Flux,pmol/min mg,1
359,nanomoles per minute per milligram,Normalized Flux,nmol/min mg,1
360,PCR cycle,Dimensionless,-,1
361,nanograms per milliliter,Concentration,ng/mL,1
362,gallons per month,Flow,gpm,1
363,gallons per year,Flow,gpy,1
364,Kilogram per cubic meter,Density,kg/m^3,1
365,grams per milliliter,Density,g/mL,1
366,meter of water,Pressure/Stress,m H2O,1
367,millimolar,Concentration,mM,1
368,mole percent,Concentration,mol %,1
369,milliequivalents per kilogram,Concentration,meq/kg,1
370,kilogram per square meter per second,Areal Flux,kg/m^2/s,1
371,joules per square meter,Energy Per Area,J/m^2,1
372,Amperes,Energy,A,1
373,centimoles per kilogram,Concentration,cmol/kg,1
374,kilograms per hectare,Areal Density,kg/ha,1
375,cubic meter per cubic meter,Concentration,m3/m3,1
376,micromoles per mole,Concentration,umol/mol,1
377,millimoles per mole,Concentration,mmol/mol,1
378,milligrams per square meter per second,Areal Flux,mg/m2 s,1
379,decibar,Pressure,dbar,1
380,milliliters per liter,Concentration,mL/L,1
381,millimoles per square meter per day,Areal Flux,mmol/m^2 d,1
382,micromoles per kilogram,Concentration,umol/kg,1
383,Luminous Flux,Energy,LUX,1
384,mole per mole,Concentration,mol/mol,1
385,cubic meters per cubic meters,Concentration,m^3/m^3,1
386,acre feet,Volume,ac ft,1
387,Percent Lower Explosive Limit,Flammability Lower Explosive Limit,Percent LEL,1
388,Milliamperes,Energy,mA,1
389,kiloJoule,Energy,kJ,1
390,millibecquerels per gram,Radioactivity,mBq/g,1
391,millibecquerels per square centimeter,Radioactivity,mBq/cm^2,1
392,Boolean,Dimensionless,-,1
