ID_ES,COD_CATALOGO_ES,NOMBRE_ES,CATEGORIA_ES,CLASE_ES,TIPO_ES,ESTADO,DEPARTAMENTO,MUNICIPIO,LATITUD,LONGITUD,FECHA_INSTALACION,FECHA_SUSPENSION
2264,24030790,NOBSA ,PM,MET,CON,ACT,BOYACÁ,NOBSA,5.7734167,-72.94025,15/02/1964,
2265,24030800,CASA AMARILLA ,PM,MET,CON,ACT,BOYACÁ,TOCA,5.5338056,-73.1635,15/03/1974,
2266,24030820,AZULEJOS LOS   ,PG,MET,CON,ACT,BOYACÁ,TUTA,5.6637222,-73.210111,15/06/1976,
2267,24030830,CHAPETON EL ,PM,MET,CON,SUS,BOYACÁ,SAN MATEO,6.45,-72.616667,15/08/1980,15/02/2002
2268,24030840,ANTENA TV RUSIA LA ,PM,MET,CON,ACT,BOYACÁ,DUITAMA,5.8916389,-73.082389,15/08/1980,
2269,24030850,ASERRIO EL ,PM,MET,CON,ACT,SANTANDER,ONZAGA,6.2325833,-72.781194,15/08/1980,
2270,24030860,CAPILLA LA ,PM,MET,CON,ACT,BOYACÁ,TUTAZÁ,6.1007222,-72.866667,15/08/1980,
2271,24030870,PINOS LOS ,PG,MET,CON,SUS,BOYACÁ,DUITAMA,5.8166667,-73.066667,15/05/1978,15/11/1981
2272,24030880,AMARILLA LA ,PG,MET,CON,SUS,BOYACÁ,DUITAMA,5.8,-73.066667,15/07/1978,15/12/1981
2273,24030940,SENA ,PG,MET,CON,ACT,BOYACÁ,SOGAMOSO,5.7560556,-72.907889,15/04/1981,
2274,24031010,COCUY EL ,PM,MET,CON,SUS,BOYACÁ,EL COCUY,6.4082222,-72.445444,15/01/1934,15/05/1942
2275,24031030,IZA ,PM,MET,CON,SUS,BOYACÁ,IZA,5.6155,-72.976278,15/06/1928,15/09/1928
2276,24031040,CRECIENTE LA ,PM,MET,CON,SUS,BOYACÁ,SANTA ROSA DE VITERBO,5.8166667,-72.983333,15/07/1981,15/02/2002
2277,24035010,CUSAGUI    ,CO,MET,CON,ACT,BOYACÁ,LA UVITA,6.2481111,-72.548889,15/05/1986,
