ID_ES,COD_CATALOGO_ES,NOMBRE_ES,CATEGORIA_ES,CLASE_ES,TIPO_ES,ESTADO,DEPARTAMENTO,MUNICIPIO,LATITUD,LONGITUD,FECHA_INSTALACION,FECHA_SUSPENSION
2639,35070260,ALMEIDA ,PG,MET,CON,ACT,BOYACÁ,ALMEIDA,4.9708333,-73.379861,15/01/1959,
2640,35070280,TENZA ,PG,MET,CON,SUS,BOYACÁ,TENZA,5.0833333,-73.416667,15/03/1962,15/10/1971
2641,35070290,TENZA ,PM,MET,CON,SUS,BOYACÁ,TENZA,5.0833333,-73.416667,15/08/1929,15/05/1941
2642,35070300,TENZA ,PM,MET,CON,SUS,BOYACÁ,TENZA,5.0833333,-73.416667,15/03/1962,15/12/1970
2643,35070310,TEATINOS    ,PG,MET,CON,ACT,BOYACÁ,SAMACÁ,5.4228222,-73.375778,15/04/1990,
2644,35070320,MARTOTA ,PM,MET,CON,ACT,BOYACÁ,SOMONDOCO,4.9364722,-73.436083,15/07/1996,
2645,35070360,MANTA ,PM,MET,CON,SUS,CUNDINAMARCA,MANTA,5.0166667,-73.55,15/03/1962,15/10/1971
2646,35070370,BELEN ,PM,MET,CON,SUS,CUNDINAMARCA,MACHETÁ,5.0833333,-73.566667,15/05/1962,15/10/1971
2647,35070380,ROSALES LOS ,PM,MET,CON,SUS,CUNDINAMARCA,MACHETÁ,5.0833333,-73.616667,15/07/1965,15/10/1971
2648,35070400,GUAYATA ,PM,MET,CON,SUS,BOYACÁ,GUAYATÁ,4.9666667,-73.483333,15/05/1939,15/10/1943
2649,35070450,SITIO PRESA ,PM,MET,CON,SUS,BOYACÁ,SANTA MARÍA,4.9,-73.3,15/02/1972,15/02/2002
2650,35070460,VOLADOR EL ,PM,MET,CON,SUS,BOYACÁ,MACANAL,4.9833333,-73.35,15/06/1968,15/02/2002
2651,35070470,ESC LOS MOLINOS ,PM,MET,CON,ACT,BOYACÁ,ALMEIDA,4.9504167,-73.410167,15/08/1982,
2652,35070480,ESPERANZA LA   ,PG,MET,CON,ACT,CUNDINAMARCA,MANTA,5.0043333,-73.200722,15/08/1982,
2653,35070490,HATO GRANDE HDA ,PM,MET,CON,ACT,CUNDINAMARCA,MANTA,4.9593889,-73.584361,15/07/1982,
2654,35070500,CAMPO REAL ,PG,MET,CON,SUS,BOYACÁ,ALMEIDA,4.9957778,-73.381528,15/07/1982,28/08/2014
2655,35070510,SAN RAFAEL ,PG,MET,CON,SUS,BOYACÁ,ALMEIDA,4.8666667,-73.383333,15/07/1982,15/04/1985
2656,35070520,POMARROSOS LOS ,PG,MET,CON,ACT,BOYACÁ,MACANAL,4.9314167,-73.350361,15/08/1982,
2657,35070550,VALLE GRANDE ,PG,MET,CON,ACT,BOYACÁ,TENZA,5.0566111,-73.426917,15/05/1984,
2658,35075010,NUEVO COLON   ,AM,MET,CON,ACT,BOYACÁ,NUEVO COLÓN,5.3526944,-73.453778,15/08/1965,
2659,35075020,SUTATENZA ,CP,MET,CON,ACT,BOYACÁ,SUTATENZA,5.0222778,-73.449167,15/01/1969,
2660,35075030,VILLA LUISA ,CO,MET,CON,ACT,BOYACÁ,RAMIRIQUÍ,5.4222222,-73.349417,15/07/1981,
2661,35075040,INST AGR MACANAL  ,CP,MET,CON,ACT,BOYACÁ,MACANAL,4.9743611,-73.31675,15/07/1982,
2662,35075050,MARTOTA ,ME,MET,CON,SUS,BOYACÁ,SOMONDOCO,4.95,-73.433333,15/02/1989,15/06/1996
2663,35075070,CHINAVITA AUTOMATICA ,AM,MET,AUT,ACT,BOYACÁ,CHINAVITA,5.21925,-73.350389,6/3/2005,
2664,35075080,PMO RABANAL AUTOMATICA  ,CP,MET,AUT,ACT,BOYACÁ,VENTAQUEMADA,5.3923889,-73.562778,13/03/2005,
2665,35080010,ZETAQUIRA ,PM,MET,CON,ACT,BOYACÁ,ZETAQUIRÁ,5.2829722,-73.169278,15/06/1957,
2666,35080030,CAMP BUENAVISTA   ,PM,MET,CON,ACT,BOYACÁ,BERBEO,5.1837222,-73.086722,15/02/1962,
2667,35080040,RONDON ,PM,MET,CON,SUS,BOYACÁ,RONDÓN,5.35,-73.216667,15/06/1957,15/11/1972
2668,35080050,PAEZ ,PG,MET,CON,ACT,BOYACÁ,PÁEZ,5.0963611,-73.053222,15/11/1975,
2669,35080060,CEDROS LOS ,PM,MET,CON,ACT,BOYACÁ,CAMPOHERMOSO,5.0136111,-73.203444,15/12/1975,
2670,35080070,SAN LUIS DE GACENO ,PM,MET,CON,ACT,BOYACÁ,SAN LUIS DE GACENO,4.8197778,-73.169861,15/12/1975,
2671,35080080,PIEDRA CAMPANA ,PM,MET,CON,ACT,BOYACÁ,SANTA MARÍA,4.8603889,-73.234083,15/03/1962,
2672,35080100,PTE FORERO   ,PM,MET,CON,ACT,BOYACÁ,GARAGOA,5.1013889,-73.251417,15/06/1977,
2673,35080110,ALTO MUCENO ,PM,MET,CON,ACT,BOYACÁ,MACANAL,5.0051389,-73.258611,15/11/1977,
2674,35080120,CEDROS EL PUENTE ,PM,MET,CON,SUS,BOYACÁ,CAMPOHERMOSO,5,-73.216667,15/05/1984,15/02/2002
2675,35080130,CASA DE MAQUINAS ,PM,MET,CON,SUS,BOYACÁ,SANTA MARÍA,4.9,-73.233333,15/10/1968,15/02/2002
