Index,Item,Value,Description
1,variablecode,2,Assigned value (Caudales=2)
2,variablename,Streamflow,VariablenameCV
3,speciation,Not Applicable,SpeciationCV
4,variableunitsid,36,Units (m3/s)
5,samplemedium,Surface water,SamplemediumCV
6,valuetype,Field Observation,ValuetypeCV
7,isregular,1,Boolean
8,timesupport,1,Time frequency
9,timeunitsid,104,1 Day
10,datatype,Average,DatatypeCV
11,generalcategory,Hydrology,GeneralcategoryCV
12,nodatavalue,-9999,Assigned value
